pha,sex,year,asr_per_100k,disease,population
20099,females,2017,1773.98313689414,Respiratory disease,239.0
20074,females,2017,1979.55474178509,Respiratory disease,628.0
20120,females,2017,,Respiratory disease,
20177,females,2017,2710.54880339779,Respiratory disease,152.0
20236,females,2017,1977.73504041276,Respiratory disease,190.0
20010,females,2017,603.255395496821,Respiratory disease,38.0
20262,females,2017,2258.79889781001,Respiratory disease,253.0
20046,females,2017,2138.41208714531,Respiratory disease,118.0
20064,females,2017,2169.2804525698,Respiratory disease,197.0
20016,females,2017,1598.87536764414,Respiratory disease,107.0
20121,females,2017,2231.50976059441,Respiratory disease,257.0
20070,females,2017,2694.6236057402,Respiratory disease,474.0
20006,females,2017,1523.65413321551,Respiratory disease,344.0
20083,females,2017,3069.52847657613,Respiratory disease,170.0
20095,females,2017,2214.82292211572,Respiratory disease,299.0
20007,females,2017,1523.83053365251,Respiratory disease,72.0
20011,females,2017,1461.6271411884,Respiratory disease,71.0
20178,females,2017,1374.93998085583,Respiratory disease,227.0
20157,females,2017,2003.06464442274,Respiratory disease,246.0
20104,females,2017,1212.69381054626,Respiratory disease,100.0
20240,females,2017,1825.06007806053,Respiratory disease,312.0
20173,females,2017,4148.28825014124,Respiratory disease,523.0
20174,females,2017,,Respiratory disease,
20175,females,2017,2266.30043463328,Respiratory disease,190.0
20241,females,2017,,Respiratory disease,
20211,females,2017,2108.53850767177,Respiratory disease,231.0
20080,females,2017,1563.16867207951,Respiratory disease,184.0
20090,females,2017,1657.74213173487,Respiratory disease,254.0
20029,females,2017,2118.27432053631,Respiratory disease,182.0
20139,females,2017,2796.66141994264,Respiratory disease,516.0
20140,females,2017,1027.43709901648,Respiratory disease,175.0
20269,females,2017,1533.40254993919,Respiratory disease,243.0
20084,females,2017,2182.67851982288,Respiratory disease,377.0
20193,females,2017,2359.96857268853,Respiratory disease,50.0
20055,females,2017,1735.76722124997,Respiratory disease,354.0
20091,females,2017,1327.86806334725,Respiratory disease,151.0
20212,females,2017,2019.50855642281,Respiratory disease,292.0
20122,females,2017,3221.59154486055,Respiratory disease,155.0
20270,females,2017,,Respiratory disease,
20042,females,2017,1842.83112283066,Respiratory disease,209.0
20127,females,2017,1975.14681712103,Respiratory disease,195.0
20179,females,2017,2471.52140406486,Respiratory disease,262.0
20030,females,2017,1420.07298443677,Respiratory disease,268.0
20109,females,2017,3221.84977385791,Respiratory disease,182.0
20203,females,2017,1673.04205954272,Respiratory disease,46.0
20203,females,2017,2255.93231013138,Respiratory disease,144.0
20056,females,2017,1416.10651439487,Respiratory disease,303.0
20057,females,2017,1711.30471083639,Respiratory disease,157.0
20213,females,2017,1794.62343052807,Respiratory disease,317.0
20162,females,2017,1969.76029925207,Respiratory disease,254.0
20165,females,2017,861.864472968657,Respiratory disease,122.0
20166,females,2017,3058.09747939355,Respiratory disease,335.0
20252,females,2017,2133.25528731374,Respiratory disease,192.0
20253,females,2017,,Respiratory disease,
20047,females,2017,978.075621413204,Respiratory disease,51.0
20065,females,2017,751.8748850316,Respiratory disease,111.0
20255,females,2017,1141.17592117087,Respiratory disease,92.0
20058,females,2017,1844.69653505429,Respiratory disease,107.0
20059,females,2017,1213.5578972457,Respiratory disease,60.0
20198,females,2017,2255.24102462214,Respiratory disease,277.0
20077,females,2017,1362.24958450444,Respiratory disease,93.0
